timestamp,success,failure_reason,order_id,buy_order_id,sell_order_id,symbol,buy_time,sell_time,filled_size,average_filled_price,calculated_sell_price
2026-04-20 12:15:51,True,None,a40c868e-5da9-4476-a4b7-383baaed2522,54895f53-aac3-4733-a54e-73ebe1708e8a,a40c868e-5da9-4476-a4b7-383baaed2522,DOGE-USD,2026-04-20 12:15:51,2026-04-20 12:15:51,20.9,0.09561,0.09657
2026-04-20 13:22:41,False,"400 Client Error: Bad Request {""error"":""INVALID_ARGUMENT"",""error_details"":""invalid OrderId UNKNOWN passed to endpoint"",""message"":""invalid OrderId UNKNOWN passed to endpoint""}",,UNKNOWN,,TIME-USD,N/A,N/A,0.0,0.0,
2026-04-20 13:47:08,False,"400 Client Error: Bad Request {""error"":""INVALID_ARGUMENT"",""error_details"":""invalid OrderId UNKNOWN passed to endpoint"",""message"":""invalid OrderId UNKNOWN passed to endpoint""}",,UNKNOWN,,IOTX-USD,N/A,N/A,0.0,0.0,
2026-04-20 14:08:22,True,None,e956a8da-2213-489f-a289-a8ad1197f121,4d390fae-e78a-4661-9cdd-a85816c96beb,e956a8da-2213-489f-a289-a8ad1197f121,DOGE-USD,2026-04-20 14:08:22,2026-04-20 14:08:22,20.8,0.09597,0.09693
2026-04-20 14:54:51,False,"400 Client Error: Bad Request {""error"":""INVALID_ARGUMENT"",""error_details"":""invalid OrderId UNKNOWN passed to endpoint"",""message"":""invalid OrderId UNKNOWN passed to endpoint""}",,UNKNOWN,,MATH-USD,N/A,N/A,0.0,0.0,
2026-04-20 15:58:28,False,"400 Client Error: Bad Request {""error"":""INVALID_ARGUMENT"",""error_details"":""invalid OrderId UNKNOWN passed to endpoint"",""message"":""invalid OrderId UNKNOWN passed to endpoint""}",,UNKNOWN,,FIS-USD,N/A,N/A,0.0,0.0,
2026-04-20 16:14:18,False,"400 Client Error: Bad Request {""error"":""INVALID_ARGUMENT"",""error_details"":""invalid OrderId UNKNOWN passed to endpoint"",""message"":""invalid OrderId UNKNOWN passed to endpoint""}",,UNKNOWN,,ABT-USD,N/A,N/A,0.0,0.0,
2026-04-20 17:57:29,False,"400 Client Error: Bad Request {""error"":""INVALID_ARGUMENT"",""error_details"":""invalid OrderId UNKNOWN passed to endpoint"",""message"":""invalid OrderId UNKNOWN passed to endpoint""}",,UNKNOWN,,IOTX-USD,N/A,N/A,0.0,0.0,
2026-04-20 19:29:14,False,"400 Client Error: Bad Request {""error"":""INVALID_ARGUMENT"",""error_details"":""invalid OrderId UNKNOWN passed to endpoint"",""message"":""invalid OrderId UNKNOWN passed to endpoint""}",,UNKNOWN,,TIME-USD,N/A,N/A,0.0,0.0,
2026-04-20 21:12:27,False,"400 Client Error: Bad Request {""error"":""INVALID_ARGUMENT"",""error_details"":""invalid OrderId UNKNOWN passed to endpoint"",""message"":""invalid OrderId UNKNOWN passed to endpoint""}",,UNKNOWN,,ABT-USD,N/A,N/A,0.0,0.0,
2026-04-20 22:44:49,False,BUY order failed: INSUFFICIENT_FUND - Insufficient balance in source account,,,,HIGH-USD,N/A,N/A,0.0,0.0,
2026-04-20 22:48:49,False,BUY order failed: INSUFFICIENT_FUND - Insufficient balance in source account,,,,PIRATE-USD,N/A,N/A,0.0,0.0,
2026-04-20 23:30:40,False,BUY order failed: INSUFFICIENT_FUND - Insufficient balance in source account,,,,FIS-USD,N/A,N/A,0.0,0.0,
2026-04-21 00:26:55,False,BUY order failed: INSUFFICIENT_FUND - Insufficient balance in source account,,,,TIME-USD,N/A,N/A,0.0,0.0,
2026-04-21 01:20:18,False,BUY order failed: INSUFFICIENT_FUND - Insufficient balance in source account,,,,ABT-USD,N/A,N/A,0.0,0.0,
2026-04-21 02:16:39,False,BUY order failed: INSUFFICIENT_FUND - Insufficient balance in source account,,,,IOTX-USD,N/A,N/A,0.0,0.0,
2026-04-21 04:12:46,False,BUY order failed: INSUFFICIENT_FUND - Insufficient balance in source account,,,,HIGH-USD,N/A,N/A,0.0,0.0,
2026-04-21 06:20:51,False,BUY order failed: INSUFFICIENT_FUND - Insufficient balance in source account,,,,IOTX-USD,N/A,N/A,0.0,0.0,
2026-04-21 06:39:07,False,BUY order failed: INSUFFICIENT_FUND - Insufficient balance in source account,,,,00-USD,N/A,N/A,0.0,0.0,
2026-04-21 06:39:38,False,BUY order failed: INSUFFICIENT_FUND - Insufficient balance in source account,,,,ABT-USD,N/A,N/A,0.0,0.0,
2026-04-21 06:53:08,False,BUY order failed: INSUFFICIENT_FUND - Insufficient balance in source account,,,,TIME-USD,N/A,N/A,0.0,0.0,
2026-04-21 07:32:57,False,BUY order failed: INSUFFICIENT_FUND - Insufficient balance in source account,,,,AST-USD,N/A,N/A,0.0,0.0,
2026-04-21 10:50:44,False,BUY order failed: INSUFFICIENT_FUND - Insufficient balance in source account,,,,IOTX-USD,N/A,N/A,0.0,0.0,
2026-04-21 11:26:45,False,BUY order failed: INSUFFICIENT_FUND - Insufficient balance in source account,,,,AIOZ-USD,N/A,N/A,0.0,0.0,
2026-04-21 12:37:28,False,BUY order failed: INSUFFICIENT_FUND - Insufficient balance in source account,,,,AST-USD,N/A,N/A,0.0,0.0,
2026-04-21 12:52:13,False,BUY order failed: INSUFFICIENT_FUND - Insufficient balance in source account,,,,ABT-USD,N/A,N/A,0.0,0.0,
2026-04-21 15:54:29,False,BUY order failed: INSUFFICIENT_FUND - Insufficient balance in source account,,,,IOTX-USD,N/A,N/A,0.0,0.0,
2026-04-21 18:07:33,False,BUY order failed: INSUFFICIENT_FUND - Insufficient balance in source account,,,,HIGH-USD,N/A,N/A,0.0,0.0,
2026-04-21 18:40:47,False,BUY order failed: INSUFFICIENT_FUND - Insufficient balance in source account,,,,DRIFT-USD,N/A,N/A,0.0,0.0,
2026-04-21 21:03:52,False,BUY order failed: INSUFFICIENT_FUND - Insufficient balance in source account,,,,TIME-USD,N/A,N/A,0.0,0.0,
2026-04-21 21:05:53,False,BUY order failed: INSUFFICIENT_FUND - Insufficient balance in source account,,,,IOTX-USD,N/A,N/A,0.0,0.0,
2026-04-21 22:10:02,False,BUY order failed: INSUFFICIENT_FUND - Insufficient balance in source account,,,,ABT-USD,N/A,N/A,0.0,0.0,
2026-04-21 22:44:16,False,BUY order failed: INSUFFICIENT_FUND - Insufficient balance in source account,,,,ZEC-USD,N/A,N/A,0.0,0.0,
2026-04-22 02:18:53,False,BUY order failed: INSUFFICIENT_FUND - Insufficient balance in source account,,,,ABT-USD,N/A,N/A,0.0,0.0,
2026-04-22 02:40:30,False,BUY order failed: INSUFFICIENT_FUND - Insufficient balance in source account,,,,IOTX-USD,N/A,N/A,0.0,0.0,
2026-04-22 05:19:47,False,BUY order failed: INSUFFICIENT_FUND - Insufficient balance in source account,,,,FIS-USD,N/A,N/A,0.0,0.0,
2026-04-22 05:40:15,False,BUY order failed: INSUFFICIENT_FUND - Insufficient balance in source account,,,,AST-USD,N/A,N/A,0.0,0.0,
2026-04-22 07:10:53,False,BUY order failed: INSUFFICIENT_FUND - Insufficient balance in source account,,,,IOTX-USD,N/A,N/A,0.0,0.0,
2026-04-23 08:33:38,False,BUY order failed: INSUFFICIENT_FUND - Insufficient balance in source account,,,,FIS-USD,N/A,N/A,0.0,0.0,
